,language,item_definition,uni_lemma,aoa,cleaned_item
1,Spanish (Argentinian),después,after,29.7440587321831,después
2,Spanish (European),después,after,31.2534406533349,después
3,Spanish (Mexican),después,after,32.2594087389761,después
4,Spanish (Peruvian),después/luego,after,30.7477359547922,después
5,Spanish (Argentinian),otro_otra_vez,again,25.6709745435839,otra vez
6,Spanish (European),otra vez,again,25.8354056992095,otra vez
7,Spanish (Mexican),otro/otra vez,again,26.2905461584957,otra vez
8,Spanish (Peruvian),otra vez,again,23.5306996408616,otra vez
9,Spanish (Argentinian),avión,airplane,23.2177640115172,avión
10,Spanish (European),avión,airplane,21.6210041696022,avión
11,Spanish (Mexican),avión,airplane,21.2363124099272,avión
12,Spanish (Peruvian),avión,airplane,23.7097737632048,avión
13,Spanish (Argentinian),todo,all,28.6844562272395,todo
14,Spanish (European),todas/os,all,29.4961568417256,todos
15,Spanish (Mexican),todo,all,28.6692824200392,todo
16,Spanish (Peruvian),todos(as),all,31.0922343722732,todos
17,Spanish (Argentinian),ya,already,28.1510921670573,ya
18,Spanish (European),ya,already,22.8810513104198,ya
19,Spanish (Mexican),ya,already,12.4549878032153,ya
20,Spanish (Peruvian),ya,already,17.7751724889215,ya
21,Spanish (Argentinian),y,and,28.1508781658212,y
22,Spanish (European),y,and,27.7546416556357,y
23,Spanish (Mexican),y,and,30.6989593598798,y
24,Spanish (Peruvian),y,and,28.0305514243732,y
25,Spanish (Argentinian),enojado,angry,28.091869910394,enojado
26,Spanish (European),enfadado,angry,26.7132989818862,enfadado
27,Spanish (Mexican),enojado,angry,32.3784837817325,enojado
28,Spanish (Peruvian),molesto/enojado/asado/enfadado,angry,29.264744203504,enojado
29,Spanish (Argentinian),animal,animal,30.3813866154411,animal
30,Spanish (European),animal,animal,28.446482650163,animal
31,Spanish (Mexican),animal,animal,28.4549695572432,animal
32,Spanish (Peruvian),animal,animal,29.8185559773501,animal
33,Spanish (Argentinian),hormiga,ant,27.9204914949176,hormiga
34,Spanish (European),hormiga,ant,25.7694433784406,hormiga
35,Spanish (Mexican),hormiga,ant,27.1030314646943,hormiga
36,Spanish (Peruvian),hormiga,ant,27.802645537064,hormiga
37,Spanish (Argentinian),manzana,apple,23.6970021136547,manzana
38,Spanish (European),manzana,apple,23.8822159776712,manzana
39,Spanish (Mexican),manzana,apple,22.6884415341185,manzana
40,Spanish (Peruvian),manzana,apple,23.889451575607,manzana
41,Spanish (Argentinian),brazo,arm,25.9980057022718,brazo
42,Spanish (European),brazos,arm,23.3500435551067,brazo
43,Spanish (Mexican),brazo,arm,26.4820091431016,brazo
44,Spanish (Peruvian),brazo(s),arm,25.1710078268199,brazo
45,Spanish (Argentinian),niñera,babysitter,32.3920152955378,niñera
46,Spanish (European),tata,babysitter,24.7601994984906,tata
48,Spanish (Peruvian),nana/niñera/mama,babysitter,30.7482991503188,niñera
49,Spanish (Argentinian),malo,bad,25.9731080835754,malo
50,Spanish (European),malo,bad,22.3168856593828,malo
51,Spanish (Mexican),malo,bad,30.1715367522661,malo
52,Spanish (Peruvian),malo,bad,26.7313037597989,malo
53,Spanish (Argentinian),Globo,balloon,21.868951479813,globo
54,Spanish (European),globo,balloon,20.8145917495439,globo
55,Spanish (Mexican),globo/bomba,balloon,14.5166612817429,globo
56,Spanish (Peruvian),globo,balloon,20.4884570012903,globo
57,Spanish (Argentinian),bañadera,bathtub,29.1519754650614,bañadera
58,Spanish (European),bañera,bathtub,23.5376474400451,bañera
59,Spanish (Mexican),tina,bathtub,31.1976971325678,tina
60,Spanish (Peruvian),tina,bathtub,29.5360220988053,tina
61,Spanish (Argentinian),playa,beach,28.9938322174898,playa
62,Spanish (European),playa,beach,25.4744178671243,playa
63,Spanish (Mexican),playa,beach,29.553612321873,playa
64,Spanish (Peruvian),playa,beach,29.0023624162795,playa
65,Spanish (Argentinian),barba,beard,30.3811669867738,barba
66,Spanish (European),barba,beard,27.4237710436237,barba
67,Spanish (Mexican),barba,beard,37.4950222996194,barba
68,Spanish (Peruvian),barba,beard,30.7478816504104,barba
69,Spanish (Argentinian),cama,bed,22.6902550001356,cama
70,Spanish (European),cama,bed,21.7165691080507,cama
71,Spanish (Mexican),cama,bed,20.8144652595647,cama
72,Spanish (Peruvian),cama,bed,22.4628832998402,cama
73,Spanish (Argentinian),abeja,bee,29.2156981267955,abeja
74,Spanish (European),abeja,bee,29.0205924183794,abeja
75,Spanish (Mexican),abeja,bee,34.8322922075503,abeja
76,Spanish (Peruvian),abeja,bee,27.8024168855135,abeja
77,Spanish (Argentinian),ombligo_pupo,belly button,23.8412127460541,ombligo
78,Spanish (European),ombligo,belly button,25.3125304167893,ombligo
79,Spanish (Mexican),ombligo,belly button,27.4351975063735,ombligo
80,Spanish (Peruvian),ombligo,belly button,26.7312668169769,ombligo
81,Spanish (Argentinian),entre,between,37.1948191624375,entre
82,Spanish (European),entre,between,35.4251428095599,entre
83,Spanish (Mexican),entre,between,34.7817955623271,entre
84,Spanish (Peruvian),entre,between,39.9995702053952,entre
85,Spanish (Argentinian),babero,bib,30.8014155412748,babero
86,Spanish (European),babero,bib,24.1334954194935,babero
87,Spanish (Mexican),babero,bib,33.6627019541547,babero
88,Spanish (Peruvian),babero,bib,30.4226871199257,babero
89,Spanish (Argentinian),bicicleta/bici,bicycle,25.6960485619295,bicicleta
90,Spanish (European),bici,bicycle,22.3797435915708,bici
91,Spanish (Mexican),bicicleta,bicycle,25.9818334209021,bicicleta
92,Spanish (Peruvian),bici,bicycle,29.8192537427868,bici
93,Spanish (Argentinian),grande,big,27.8915944987752,grande
94,Spanish (European),grande,big,23.2875669457013,grande
95,Spanish (Mexican),grande,big,27.4250026606137,grande
96,Spanish (Peruvian),grande,big,27.1482571717591,grande
97,Spanish (Argentinian),pájaro,bird,25.8472221187065,pájaro
98,Spanish (European),pájaro,bird,22.7873169017996,pájaro
99,Spanish (Mexican),pájaro,bird,23.9259678947694,pájaro
100,Spanish (Peruvian),pájaro,bird,27.8024168850671,pájaro
101,Spanish (Argentinian),morder,bite,28.8684437203683,morder
102,Spanish (European),morder,bite,26.302946364058,morder
103,Spanish (Mexican),morder,bite,29.7165158008192,morder
104,Spanish (Peruvian),morder,bite,29.8186629995045,morder
105,Spanish (Argentinian),negro,black,29.3440029289614,negro
106,Spanish (European),negro,black,28.4070075849017,negro
107,Spanish (Mexican),negro,black,30.2701913604705,negro
108,Spanish (Peruvian),negro,black,28.7487930789689,negro
109,Spanish (Argentinian),azul,blue,25.3966154310126,azul
110,Spanish (European),azul,blue,23.037569055218,azul
111,Spanish (Mexican),azul,blue,26.9110293368574,azul
112,Spanish (Peruvian),azul,blue,25.170985503071,azul
113,Spanish (Argentinian),barco,boat,27.3903520052341,barco
114,Spanish (European),barco,boat,24.4487124764066,barco
115,Spanish (Mexican),barco,boat,28.7802717528357,barco
116,Spanish (Peruvian),barco,boat,27.8024048776517,barco
117,Spanish (Argentinian),Libro_cuento,book,25.5213289003886,libro
118,Spanish (European),cuento/libro,book,21.3650822874632,libro
119,Spanish (Mexican),libro,book,25.6637519657847,libro
120,Spanish (Peruvian),cuento/libro,book,25.5486498644294,libro
121,Spanish (Argentinian),pan,bread,19.4584988062969,pan
122,Spanish (European),pan,bread,15.3539957165161,pan
123,Spanish (Mexican),pan,bread,4.33931043954301,pan
124,Spanish (Peruvian),pan,bread,16.6782148561226,pan
125,Spanish (Argentinian),romper,break,27.0648556679612,romper
126,Spanish (European),romper(se),break,22.6934841995696,romper(se)
127,Spanish (Mexican),romper,break,28.6416945733466,romper
128,Spanish (Peruvian),romper(se),break,28.5027242930626,romper(se)
129,Spanish (Argentinian),desayunar,breakfast (action),31.1201082571977,desayunar
130,Spanish (European),desayunar,breakfast (action),26.5758931721132,desayunar
131,Spanish (Mexican),desayunar,breakfast (action),33.2936703871486,desayunar
132,Spanish (Peruvian),desayunar/tomar desayuno,breakfast (action),29.5361069547244,desayunar
133,Spanish (Argentinian),traer_se,bring,30.381351859385,traer(se)
134,Spanish (European),traer,bring,26.8528859176749,traer
135,Spanish (Mexican),traer(se),bring,33.6463842201884,traer(se)
136,Spanish (Peruvian),traer,bring,29.5364982763204,traer
137,Spanish (Argentinian),roto,broken,27.3077358174507,roto
138,Spanish (European),roto,broken,22.0332691288589,roto
139,Spanish (Mexican),roto,broken,30.8223581993184,roto
140,Spanish (Peruvian),roto,broken,27.3624055239301,roto
141,Spanish (Argentinian),escoba,broom,28.325532528865,escoba
142,Spanish (European),escoba,broom,27.3146652599829,escoba
143,Spanish (Mexican),escoba,broom,26.9934304069388,escoba
144,Spanish (Peruvian),escoba,broom,27.8028150027505,escoba
145,Spanish (Argentinian),hermano,brother,27.2551329521725,hermano
146,Spanish (European),hermano,brother,27.718252486585,hermano
147,Spanish (Mexican),hermano,brother,32.2550354205201,hermano
148,Spanish (Peruvian),hermano(a),brother,26.1290341515806,hermano
149,Spanish (Argentinian),cepillo,brush (object),26.878967670964,cepillo
150,Spanish (European),cepillo,brush (object),24.7024358388717,cepillo
151,Spanish (Mexican),cepillo,brush (object),23.5580429016693,cepillo
152,Spanish (Peruvian),cepillo/escobilla (de pelo),brush (object),31.4591794263693,cepillo
153,Spanish (Argentinian),bicho,bug,26.3304687996282,bicho
154,Spanish (European),bicho,bug,23.882214525172,bicho
155,Spanish (Mexican),bicho,bug,45.4064709457794,bicho
156,Spanish (Peruvian),bicho,bug,31.8519387759854,bicho
157,Spanish (Argentinian),conejo,bunny,27.1189234919109,conejo
158,Spanish (European),conejo,bunny,24.4806534469895,conejo
159,Spanish (Mexican),conejo,bunny,27.304766260782,conejo
160,Spanish (Peruvian),conejo,bunny,25.1709966620695,conejo
