"","language","category","uni_lemma","item_definition","lexical_category"
"1","Spanish (Mexican)","pronouns","1PL","nosotros","function_words"
"2","Spanish (Argentinian)","pronouns","1PL","nosotros","function_words"
"3","Spanish (Mexican)","pronouns","1PL.POSS","nuestro","function_words"
"4","Spanish (Argentinian)","pronouns","1PL.POSS","nuestro","function_words"
"5","Spanish (European)","pronouns","1SG","conmigo","function_words"
"6","Spanish (European)","pronouns","1SG","(para) mí","function_words"
"7","Spanish (European)","pronouns","1SG","yo","function_words"
"8","Spanish (Mexican)","pronouns","1SG","me","function_words"
"9","Spanish (Mexican)","pronouns","1SG","yo","function_words"
"10","Spanish (Peruvian)","pronouns","1SG","conmigo","function_words"
"11","Spanish (Peruvian)","pronouns","1SG","(para) mí","function_words"
"12","Spanish (Peruvian)","pronouns","1SG","yo","function_words"
"13","Spanish (Argentinian)","pronouns","1SG","yo","function_words"
"14","Spanish (European)","pronouns","1SG.POSS","mí","function_words"
"15","Spanish (European)","pronouns","1SG.POSS","mío/mía","function_words"
"16","Spanish (European)","pronouns","1SG.POSS","míos/mías","function_words"
"17","Spanish (Mexican)","pronouns","1SG.POSS","mí","function_words"
"18","Spanish (Mexican)","pronouns","1SG.POSS","mía","function_words"
"19","Spanish (Mexican)","pronouns","1SG.POSS","mías","function_words"
"20","Spanish (Mexican)","pronouns","1SG.POSS","mío","function_words"
"21","Spanish (Mexican)","pronouns","1SG.POSS","míos","function_words"
"22","Spanish (Peruvian)","pronouns","1SG.POSS","mío/mía","function_words"
"23","Spanish (Peruvian)","pronouns","1SG.POSS","míos/mías","function_words"
"24","Spanish (Argentinian)","pronouns","1SG.POSS","mi","function_words"
"25","Spanish (Argentinian)","pronouns","1SG.POSS","mía","function_words"
"26","Spanish (Argentinian)","pronouns","1SG.POSS","mías","function_words"
"27","Spanish (Argentinian)","pronouns","1SG.POSS","mío","function_words"
"28","Spanish (Argentinian)","pronouns","1SG.POSS","míos","function_words"
"29","Spanish (European)","pronouns","2SG","contigo","function_words"
"30","Spanish (European)","pronouns","2SG","(para) ti","function_words"
"31","Spanish (European)","pronouns","2SG","tú","function_words"
"32","Spanish (Mexican)","pronouns","2SG","te (pronouns)","function_words"
"33","Spanish (Mexican)","pronouns","2SG","tí","function_words"
"34","Spanish (Mexican)","pronouns","2SG","tú","function_words"
"35","Spanish (Peruvian)","pronouns","2SG","contigo","function_words"
"36","Spanish (Peruvian)","pronouns","2SG","(para) ti","function_words"
"37","Spanish (Peruvian)","pronouns","2SG","tu","function_words"
"38","Spanish (Argentinian)","pronouns","2SG","te","function_words"
"39","Spanish (Argentinian)","pronouns","2SG","tu","function_words"
"40","Spanish (European)","pronouns","2SG.POSS","tu","function_words"
"41","Spanish (European)","pronouns","2SG.POSS","tuyo/tuya","function_words"
"42","Spanish (European)","pronouns","2SG.POSS","tuyos/tuyas","function_words"
"43","Spanish (Mexican)","pronouns","2SG.POSS","tuya","function_words"
"44","Spanish (Mexican)","pronouns","2SG.POSS","tuyas","function_words"
"45","Spanish (Mexican)","pronouns","2SG.POSS","tuyo","function_words"
"46","Spanish (Mexican)","pronouns","2SG.POSS","tuyos","function_words"
"47","Spanish (Peruvian)","pronouns","2SG.POSS","tú","function_words"
"48","Spanish (Peruvian)","pronouns","2SG.POSS","tuyo(a)","function_words"
"49","Spanish (Peruvian)","pronouns","2SG.POSS","tuyos(as)","function_words"
"50","Spanish (Argentinian)","pronouns","2SG.POSS","tuya","function_words"
"51","Spanish (Argentinian)","pronouns","2SG.POSS","tuyas","function_words"
"52","Spanish (Argentinian)","pronouns","2SG.POSS","tuyo","function_words"
"53","Spanish (Argentinian)","pronouns","2SG.POSS","tuyos","function_words"
"54","Spanish (European)","pronouns","3PL","ellos/as","function_words"
"55","Spanish (Mexican)","pronouns","3PL","ellas","function_words"
"56","Spanish (Mexican)","pronouns","3PL","ellos","function_words"
"57","Spanish (Mexican)","pronouns","3PL","les","function_words"
"58","Spanish (Peruvian)","pronouns","3PL","ellos(as)","function_words"
"59","Spanish (Argentinian)","pronouns","3PL","ellos","function_words"
"60","Spanish (Argentinian)","pronouns","3PL","ellas","function_words"
"61","Spanish (Argentinian)","pronouns","3PL","les","function_words"
"62","Spanish (European)","pronouns","3SG","él","function_words"
"63","Spanish (European)","pronouns","3SG","ella","function_words"
"64","Spanish (Mexican)","pronouns","3SG","él (pronouns)","function_words"
"65","Spanish (Mexican)","pronouns","3SG","ella","function_words"
"66","Spanish (Mexican)","pronouns","3SG","le","function_words"
"67","Spanish (Mexican)","pronouns","3SG","lo","function_words"
"68","Spanish (Peruvian)","pronouns","3SG","él","function_words"
"69","Spanish (Peruvian)","pronouns","3SG","ella","function_words"
"70","Spanish (Argentinian)","pronouns","3SG","él","function_words"
"71","Spanish (Argentinian)","pronouns","3SG","ella","function_words"
"72","Spanish (Argentinian)","pronouns","3SG","le_le","function_words"
"73","Spanish (Argentinian)","pronouns","3SG","lo","function_words"
"74","Spanish (Argentinian)","pronouns","3SG","me","function_words"
"75","Spanish (European)","pronouns","3SG.POSS","su","function_words"
"76","Spanish (European)","pronouns","3SG.POSS","suyo/a","function_words"
"77","Spanish (Mexican)","pronouns","3SG.POSS","su","function_words"
"78","Spanish (Mexican)","pronouns","3SG.POSS","suya","function_words"
"79","Spanish (Mexican)","pronouns","3SG.POSS","suyas","function_words"
"80","Spanish (Mexican)","pronouns","3SG.POSS","suyo","function_words"
"81","Spanish (Mexican)","pronouns","3SG.POSS","suyos","function_words"
"82","Spanish (Peruvian)","pronouns","3SG.POSS","su","function_words"
"83","Spanish (Argentinian)","pronouns","3SG.POSS","su","function_words"
"84","Spanish (Argentinian)","pronouns","3SG.POSS","suya","function_words"
"85","Spanish (Argentinian)","pronouns","3SG.POSS","suyas","function_words"
"86","Spanish (Argentinian)","pronouns","3SG.POSS","suyo","function_words"
"87","Spanish (Argentinian)","pronouns","3SG.POSS","suyos","function_words"
"88","Spanish (Mexican)","pronouns","REFL","se","function_words"
"89","Spanish (Argentinian)","pronouns","REFL","se","function_words"
"90","Spanish (European)","articles","a","un","function_words"
"91","Spanish (European)","articles","a","uno","function_words"
"92","Spanish (European)","articles","a","una","function_words"
"93","Spanish (Mexican)","prepositions","a","un","function_words"
"94","Spanish (Mexican)","prepositions","a","una","function_words"
"95","Spanish (Argentinian)","quantifiers","a","un","function_words"
"96","Spanish (Argentinian)","quantifiers","a","una","function_words"
"97","Spanish (Mexican)","quantifiers","a lot","mucho","function_words"
"98","Spanish (Peruvian)","quantifiers","a lot","un montón","function_words"
"99","Spanish (Argentinian)","descriptive_words (adverbs)","a lot","mucho","predicates"
"100","Spanish (European)","descriptive_words","afraid","asustado","predicates"
"101","Spanish (European)","descriptive_words","afraid","miedo","predicates"
"102","Spanish (European)","time_words","after","después","other"
"103","Spanish (Mexican)","time_words","after","después","other"
"104","Spanish (Peruvian)","time_words","after","después/luego","other"
"105","Spanish (Argentinian)","time_words","after","después","other"
"106","Spanish (Mexican)","time_words","afternoon","en la tarde","other"
"107","Spanish (Peruvian)","time_words","afternoon","tarde (por la/en la)","other"
"108","Spanish (European)","articles","again","otra vez","function_words"
"109","Spanish (Mexican)","quantifiers","again","otro/otra vez","function_words"
"110","Spanish (Peruvian)","quantifiers","again","otra vez","function_words"
"111","Spanish (Argentinian)","descriptive_words (adverbs)","again","otro_otra_vez","predicates"
"112","Spanish (European)","vehicles","airplane","avión","nouns"
"113","Spanish (Mexican)","vehicles","airplane","avión","nouns"
"114","Spanish (Peruvian)","vehicles","airplane","avión","nouns"
"115","Spanish (Argentinian)","vehicles","airplane","avión","nouns"
"116","Spanish (European)","articles","all","todas/os","function_words"
"117","Spanish (Mexican)","quantifiers","all","todo","function_words"
"118","Spanish (Peruvian)","quantifiers","all","todos(as)","function_words"
"119","Spanish (Argentinian)","descriptive_words (adverbs)","all","todo","predicates"
"120","Spanish (European)","games_routines","all done","ya está","other"
"121","Spanish (Argentinian)","games_routines","all done","ya_está_listo","other"
"122","Spanish (European)","locations","almost","casi","function_words"
"123","Spanish (Peruvian)","locations","almost","casi","function_words"
"124","Spanish (European)","descriptive_words","alone","solo","predicates"
"125","Spanish (Argentinian)","descriptive_words","alone","solo","predicates"
"126","Spanish (European)","time_words","already","ya","other"
"127","Spanish (Mexican)","quantifiers","already","ya","function_words"
"128","Spanish (Peruvian)","time_words","already","ya","other"
"129","Spanish (Argentinian)","descriptive_words (adverbs)","already","ya","predicates"
"130","Spanish (European)","articles","also","también","function_words"
"131","Spanish (Peruvian)","quantifiers","also","también","function_words"
"132","Spanish (Argentinian)","connecting_words","also","también","function_words"
"133","Spanish (European)","vehicles","ambulance","ambulancia","nouns"
"134","Spanish (Peruvian)","vehicles","ambulance","ambulancia","nouns"
"135","Spanish (Argentinian)","vehicles","ambulance","ambulancia","nouns"
"136","Spanish (European)","connecting_words","and","y","function_words"
"137","Spanish (Mexican)","connecting_words","and","y","function_words"
"138","Spanish (Peruvian)","connecting_words","and","y","function_words"
"139","Spanish (Argentinian)","connecting_words","and","y","function_words"
"140","Spanish (European)","descriptive_words","angry","enfadado","predicates"
"141","Spanish (Mexican)","descriptive_words","angry","enojado","predicates"
"142","Spanish (Peruvian)","descriptive_words","angry","molesto/enojado/asado/enfadado","predicates"
