"","item_id","language","form","form_type","item_kind","category","item_definition","english_gloss","uni_lemma","lexical_category","complexity_category"
"1","item_1","Spanish (European)","WS","WS","word","sounds","aúpa","wow","wow","other",NA
"2","item_2","Spanish (European)","WS","WS","word","sounds","auuuu (lobo)","NA",NA,"other",NA
"3","item_3","Spanish (European)","WS","WS","word","sounds","beeee","NA",NA,"other",NA
"4","item_4","Spanish (European)","WS","WS","word","sounds","brumbrum (coche)","vroom","vroom","other",NA
"5","item_5","Spanish (European)","WS","WS","word","sounds","cua-cuá","quack quack","quack quack","other",NA
"6","item_6","Spanish (European)","WS","WS","word","sounds","¿eh?","NA",NA,"other",NA
"7","item_7","Spanish (European)","WS","WS","word","sounds","gua-guáu","woof woof","woof woof","other",NA
"8","item_8","Spanish (European)","WS","WS","word","sounds","¡hala!","haha",NA,"other",NA
"9","item_9","Spanish (European)","WS","WS","word","sounds","iiiiaaaa (burro)","hee haw","hee haw","other",NA
"10","item_10","Spanish (European)","WS","WS","word","sounds","miau","meow","meow","other",NA
"11","item_11","Spanish (European)","WS","WS","word","sounds","nino-nino (sirena)","NA",NA,"other",NA
"12","item_12","Spanish (European)","WS","WS","word","sounds","piípií (coche)","NA",NA,"other",NA
"13","item_13","Spanish (European)","WS","WS","word","sounds","pío pío","tweet tweet","tweet tweet","other",NA
"14","item_14","Spanish (European)","WS","WS","word","sounds","¡pumba!","NA",NA,"other",NA
"15","item_15","Spanish (European)","WS","WS","word","sounds","Quiquiriquí","cockadoodledoo","cockadoodledoo","other",NA
"16","item_16","Spanish (European)","WS","WS","word","sounds","rin-rin (timbre)","ding dong","ding dong","other",NA
"17","item_17","Spanish (European)","WS","WS","word","sounds","tic-tac","NA",NA,"other",NA
"18","item_18","Spanish (European)","WS","WS","word","sounds","tocotoc (caballo)","clip clop","clip clop","other",NA
"19","item_19","Spanish (European)","WS","WS","word","sounds","¡uy!","ouch","ouch","other",NA
"20","item_20","Spanish (European)","WS","WS","word","games_routines","a bañar","go to the bathroom","bathe","other",NA
"21","item_21","Spanish (European)","WS","WS","word","games_routines","a comer","to eat","eat","other",NA
